time,speed,rpm,gear
1662162269728,109.6,5370.02,5
1662162269742,109.45,5346.68,5
1662162269763,109.24,5332.25,5
1662162269777,109.07,5338.66,5
1662162269791,108.95,5332.44,5
1662162269812,108.79,5311.62,5
1662162269826,108.59,5302.47,5
1662162269847,108.42,5306.07,5
1662162269861,108.3,5303.35,5
1662162269875,108.16,5280.92,5
1662162269896,107.95,5267.5,5
1662162269910,107.78,5272.89,5
1662162269931,107.67,5269.69,5
1662162269945,107.52,5248.02,5
1662162269959,107.31,5235.24,5
1662162269980,107.14,5241.32,5
1662162269993,107.03,5238.35,5
1662162270008,106.89,5215.9,5
1662162270029,106.69,5203.76,5
1662162270043,106.52,5207.76,5
1662162270064,106.4,5204.86,5
1662162270078,106.26,5184.97,5
1662162270092,106.05,5172.23,5
1662162270113,105.89,5178.88,5
1662162270126,105.79,5174.69,5
1662162270147,105.63,5151.71,5
1662162270161,105.44,5142.07,5
1662162270175,105.28,5144.07,5
1662162270196,105.16,5140.25,5
1662162270210,105.02,5123.42,5
1662162270231,104.82,5110.67,5
1662162270244,104.65,5116.64,5
1662162270258,104.55,5114.71,5
1662162270279,104.41,5090.39,5
1662162270294,104.21,5077.83,5
1662162270315,104.06,5082.77,5
1662162270329,103.94,5077.86,5
1662162270343,103.8,5059.05,5
1662162270363,103.6,5048.95,5
1662162270377,103.43,5055.05,5
1662162270391,103.33,5053.95,5
1662162270412,103.2,5029.66,5
1662162270426,103.01,5016.51,5
1662162270447,102.86,5020.66,5
1662162270461,102.74,5014.47,5
1662162270475,102.59,4998.36,5
1662162270496,102.39,4990.91,5
1662162270510,102.24,4997.49,5
1662162270531,102.14,4992.19,5
1662162270545,102.0,4968.41,5
1662162270558,101.83,4958.59,5
1662162270579,101.66,4957.58,5
1662162270594,101.53,4958.45,5
1662162270615,101.42,4944.82,5
1662162270629,101.22,4927.55,5
1662162270643,101.07,4934.45,5
1662162270664,100.97,4929.3,5
1662162270678,100.82,4908.01,5
1662162270692,100.63,4900.56,5
1662162270712,100.47,4905.9,5
1662162270726,100.38,4903.75,5
1662162270747,100.25,4880.42,5
1662162270761,100.07,4868.79,5
1662162270775,99.91,4872.74,5
1662162270796,99.81,4868.7,5
1662162270810,99.67,4851.59,5
1662162270831,99.47,4841.41,5
1662162270845,99.32,4849.76,5
1662162270859,99.23,4846.63,5
1662162270880,99.1,4821.82,5
1662162270894,98.93,4811.81,5
1662162270908,98.78,4811.16,5
1662162270929,98.64,4808.43,5
1662162270943,98.59,4744.6,5
1662162270964,98.52,4680.81,5
1662162270978,98.42,4617.72,1
1662162270992,98.4,4555.33,1
1662162271013,98.36,4493.65,1
1662162271027,98.25,4432.65,4
1662162271041,98.18,4372.33,4
1662162271062,98.15,4312.68,4
1662162271076,97.94,4380.43,4
1662162271097,97.5,4575.56,4
1662162271111,96.91,4896.67,4
1662162271125,96.2,5342.35,4
1662162271146,95.54,5758.44,4
1662162271160,95.08,5904.75,4
1662162271181,94.92,5985.25,4
1662162271195,94.81,5973.8,4
1662162271209,94.69,5945.11,4
1662162271230,94.48,5921.8,4
1662162271244,94.29,5922.8,4
1662162271258,94.16,5921.45,4
1662162271279,94.08,5934.93,4
1662162271293,94.05,5964.78,4
1662162271314,94.15,6014.85,4
1662162271328,94.39,6057.26,4
1662162271342,94.69,6087.71,4
1662162271363,94.93,6120.33,4
1662162271377,95.24,6170.94,4
1662162271398,95.67,6202.47,4
